id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	question_template	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
36121		SQ		SQ002	1	"A matéria de regulamentação dos atos é importante"		pt-BR			N		0																																																																																																																																				
36122		SQ		SQ003	1	"As obrigações para cumprimento dos atos são exequíveis (viáveis)"		pt-BR			N		0																																																																																																																																				
36123		SQ		SQ004	1	"Existem temas mais urgentes que ainda não foram regulamentados"		pt-BR			N		0																																																																																																																																				
36124		SQ		SQ005	1	"Estou preparado para atender aos atos e normativos de TIC elaborados pelo Diretor Geral"		pt-BR			N		0																																																																																																																																				
36119		A	0	4		"Concordo totalmente"		pt-BR													0																																																																																																																												
36119		A	0	3		Concordo		pt-BR													0																																																																																																																												
36119		A	0	2		"Não concordo"		pt-BR													0																																																																																																																												
36119		A	0	1		"Discordo totalmente"		pt-BR													0																																																																																																																												
36125		Q	T	q1036raz	"(((!is_empty(431594X1792X36119SQ001.NAOK) && (431594X1792X36119SQ001.NAOK == 1)) or (!is_empty(431594X1792X36119SQ001.NAOK) && (431594X1792X36119SQ001.NAOK == 2)) or (!is_empty(431594X1792X36119SQ001.NAOK) && (431594X1792X36119SQ001.NAOK == 3)) or (!is_empty(431594X1792X36119SQ001.NAOK) && (431594X1792X36119SQ001.NAOK == 4))))"	"Ajude-nos a entender por que você escolheu as opções acima"		pt-BR		Y	N		0																																																																																																																																				
14582	36119	C	1	431594X1792X36119SQ001	'==																																																																																																																																												
14583	36119	C	1	431594X1792X36119SQ001	'==																																																																																																																																												
14584	36119	C	1	431594X1792X36119SQ001	'==																																																																																																																																												
14585	36119	C	1	431594X1792X36119SQ001	'==																																																																																																																																												
36126		Q	L	q1037	"((431594X1785X36104.NAOK == ""sim""))"	"<strong>1037. Para o Gestor de TI, a atuação do Diretor Geral do SETIC (PRODERJ), como integrador de soluções de TIC, atende as necessidades de TIC da organização.</strong>"	"O Diretor Geral atua no seu papel de integrador de soluções de TIC quando elabora as atas de registro de preço para participação e aderência dos demais órgãos da Administração Pública Estadual, quando realiza as contratações para os órgãos setoriais ou quando presta diretamente os serviços de TIC."	pt-BR		Y	N		0																																																																																																																																				
14606	36104	C	1	431594X1785X36104	'==																																																																																																																																												
36126		A	0	1		"Não, aparentemente pioraram as coisas"		pt-BR													0																																																																																																																												
36126		A	0	2		"Não, realmente não ajudaram"		pt-BR													0																																																																																																																												
36126		A	0	3		"Sim, ajudaram de alguma forma"		pt-BR													0																																																																																																																												
36126		A	0	4		"Sim, ajudaram bastante"		pt-BR													0																																																																																																																												
36127		Q	T	q1037raz	"(((!is_empty(431594X1792X36126.NAOK) && (431594X1792X36126.NAOK == 1)) or (!is_empty(431594X1792X36126.NAOK) && (431594X1792X36126.NAOK == 2)) or (!is_empty(431594X1792X36126.NAOK) && (431594X1792X36126.NAOK == 3)) or (!is_empty(431594X1792X36126.NAOK) && (431594X1792X36126.NAOK == 4))))"	"Ajude-nos a entender por que você escolheu a opção acima"		pt-BR		Y	N		0																																																																																																																																				
14586	36126	C	1	431594X1792X36126	'==																																																																																																																																												
14587	36126	C	1	431594X1792X36126	'==																																																																																																																																												
